Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
Add multiple attachments to email,CE-448,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:41,"As a user I want the ability to attach multiple files to an email


https://mwiah.atlassian.net/browse/MERLIN-23026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:41
Treatment Codes UI Improvements,CE-447,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:41,As a user I want to see the full description of treatment codes and also see which code items have been deactivated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:41
End HCP if Patient Euthanised,CE-446,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:41,As a user I want the system to prompt me to end a HCP if the pet has been euthanised so that the pet owner does not receive communications/requests for payment if their animal is deceased.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:41
"Add Address, Weight & D.O.B columns to HCP > Report",CE-445,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:40,"As a user administering HCP Renewals I want to see the weight, d.o.b and address of a client so that I can easily see which plan they need to be renewed to.
This information should also be available as part of the CSV export",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:40
Open Till User Role & Audit Log,CE-444,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:39,"As a system administrator I do not want our users to open the till unless they have permission.
I also want to see an audit log for who has opened the till so that I can see which users are opening the till manually.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:39
Communications tab,CE-443,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:34,"As a user I want to see which Debtor Chase Up Letter template was sent to a client (template description).

In the communications tab on client files we would like an extra column that gives you a preview of the text or e-mail that's been sent.Currently this screen only shows the communication type, it can be quite difficult if you are trying to search for a text or an e-mail that has been sent - you have to open each communication and read the popup.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:34
Add user to communications log,CE-442,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:33,I want to see the user who generated an email/sms/document in the client communication tab so that accounts team know who sent a chase up letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:33
Stop sending reminder if appt booked,CE-441,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,31/05/2023 08:16,"As a pet owner I do not want the system to send an SMS/Email reminder if an appointment has been booked already.

i.e. ""Mr smith your vaccination is due"", vaccination appt booked, ""This is a reminder your vaccination appt is due, if you have already booked an appt please ignore this message""",,Steven Freitas,Yaraslava Tkachova,5eed2c15a6a7110ab57d358c,62e0eb6c3780798663d07fcf,,,,,,,Apex Vets Ltd,,,,,Diary/Daylists,,,,,,,,,,,,,,,20/06/2022 15:46
Increase size of SMS Templates window,CE-440,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 14:01,As a user I want to easily read the content of SMS templates when selecting an SMS to send to a patient.,,,,,,,,,,,,,,,,,Communications (Email/SMS/Reminders/Internal),,,,,,,,,,,,,,,20/06/2022 15:46
Commun,CE-439,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:28
Minimise New Email screen,CE-438,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:28,As a user I want the ability to minimise the new email screen so that I can view/navigate other areas of the system whilst writing an email.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:28
Ability to Multi-Select in Debtors,CE-437,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:27,As a user i want the ability to tick the 'Ignore' checkbox for multiple clients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:27
Add ContactID column to Debtors List,CE-436,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:26,As a user I want to see the ContactID for a client on the debtors list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:26
Mandatory Payment/Return Money/Refund Notes,CE-435,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:22,"As an administrator I always want our users to record a note when adding a payment, return money or refund transaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:22
Multiple Document Attachments,CE-434,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:20,"As a user I want the system to generate multiple files when adding a treatment to a patients record.

Background : Currently only produces one",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:20
General UI (Visibility/Popups/Keyboard Nav),CE-433,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:18,As a user I want to see all information on screen and have minimal amount of keyboard/mouse interaction when adding a new code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:18
VetXML Claim Amount Column,CE-432,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:17,As a user I want to see the Total amount £ of an insurance claim from the VetXML overview without having to open the insurance claim form.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:17
Register Insurance Details,CE-431,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:16,"As a user I want to register a Client's insurance Policy end date and Insurance Excess £ so that i can view this detail when handling insurance claims.

Note: Collecting this information will also help for any future insurance integrations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:16
Filter Payments Screen by Insurance/Non-Insurance,CE-430,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:16,As a user I want the ability to filter the payments screen by insurance/non-insurance items so that I can see which items need to be paid off by the pet owner or insurance company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:16
Filter Accounts by Insurance/Non-Insurance,CE-429,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:15,As a user I want the ability to filter the accounts screen by Insurance/Non-Insurance items so that I can clearly distinguish between the two account transaction types.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:15
Folders for messages,CE-428,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:14,As a user I want the ability to store internal messages in folders so that I can organise my inbox.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:14
Front-end BOPP,CE-427,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:14
Increase Size of Client & Patient Summary Bars,CE-426,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:13,As a user I would like the size of the text increased on the Client and Patient summary bars so that I can clearly see which client/patient I have selected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:13
Auto-Fee for Appointment Reasons,CE-425,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:12,"As a user I want the ability to link a Code Entry fee to an appointment reason, so that everytime an appointment is arrived, the fee is automatically applied. This should reduce the no. of missed charges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:12
Body Conditioning Score,CE-424,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,21/05/2024 17:35,As a user I want the ability to record a BCS for a pet (1 to 9) this should display in the patient summary,,Craig Herrington,Yaraslava Tkachova,5ecfbfd00e595d0c34457af8,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Behaviour Score,CE-423,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 14:00,As a user I want to record an animals behavior score Green/Amber/Red so that i know whether to take care when handling or not. This should also display on the patients bottom summary,,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Add Weight (Remove Surgeon Popup),CE-422,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:06,As a user I want the Add Weight screen to display a surgeon drop-down so that I dont have to select the surgeon via another popup. (reduce number of popups),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:06
Clinical Ability to update stock level from 'Out of Stock' prompt,CE-421,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:06,As a user I want the ability to update stock levels when the 'Out of Stock' prompt is displayed so that I can update the system to correctly display the no. items in stock rather than having to navigate away from my current task to another screen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:06
Vaccination Report,CE-420,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:05,"As a user I want to be able to print/email a PDF form of all the vaccinations treatment that a patient has had on the Merlin system so that we can send it to the pet owner as this document has to be created every time an animal travels abroad with the new AHC regulations as of January 2021. 

This form needs to show owners name, pets name, DOB and ID chip number.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:05
Record Imported Pet Information,CE-419,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 13:04,"As a user I want to flag if a pet is imported and what country it is imported from.

This field needs to be included on the report wizard output.

Background: Imported animals could be carrying disease which is transmissible to humans.  Labs require it to be marked on lab forms.

Ability to mark if imported when registered a patient with a tick box like when choosing sex, and country if possible",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/12/2022 13:04
Record Breeder Information,CE-418,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 05:27,"As a user I want to be able to record a patient's 'KC registered number' with a tick box and text field so that we can report back the number of C Sections to Kennel Club.

This field needs to be included in the Report Wizard Excel output.

Info: https://www.thekennelclub.org.uk/dog-breeding/first-time-breeders/whelping-your-first-litter/reporting-c-sections-and-surgeries/",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Patient Age Format - Tooltip,CE-417,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 05:26,"As a user I want the ability to easily see a patients age in Weeks rather than years, months and weeks so that its easier to see a puppy age.

For example: '3 Weeks 2 days' rather than '0 Years 0 Months 23 Days old'",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Colour Code Account Balance,CE-416,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,08/12/2022 07:19,"As a user I want to easily see which clients are in debt/credit.

Red = Debt
Black = 0.00
Blue = Credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Show all patients when searching by Client,CE-415,Idea,Idea Pipeline,,Craig Herrington,Craig Herrington,20/06/2022 15:46,23/02/2023 14:50,"As a user searching for a patient, when searching by patient name i want to see all the Client's patients, not just the patient i searched for, so that I can see all the client patients on their record.

Background: Searching for a patient used to work this way prior to a change for performance reasons.",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,62e0eb6c3780798663d07fcf,,,,,,"PDSA, Pet Vet Ltd, Kriek & Gibson",,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
Copy & Paste an appointment multiple times,CE-414,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,25/10/2022 16:29,I would like the ability to copy an appointment or unavailable slot and paste it more than onces so that i can easily book routine appts,,Craig Herrington,,5ecfbfd00e595d0c34457af8,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/10/2022 16:29
Navigate to Diary from Client Appointment Screen,CE-413,Idea,Closed,,Craig Herrington,Craig Herrington,20/06/2022 15:46,01/12/2022 13:28,"As a user I want to navigate to the diary screen when viewing a list of appointment s a client has booked, so that I don't have to manually navigate and find the appointment in the diary screen if I want to move it.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2022 13:28
Do not display Cancelled Appointments,CE-412,Idea,Discovery,,Craig Herrington,Craig Herrington,20/06/2022 15:46,07/12/2022 13:09,"As a user, when cancelling an appointment I want the appointment slot to become free so that I can book another appointment in the same slot.

Background: Currently cannot rebook a slot if appointment cancelled, need the ability to cancel and report on the cancellation.",,Yaraslava Tkachova,,62e0eb6c3780798663d07fcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/06/2022 15:46
